Time,PlayerID,GSF,StrategyMode,MySoldiers,EnemySoldiers
2.02,1,350.00,Aggressive,0,0.00
2.07,1,350.00,Aggressive,0,0.00
2.12,1,350.00,Aggressive,0,0.00
2.15,1,350.00,Aggressive,0,0.00
2.19,1,350.00,Aggressive,0,0.00
2.21,1,350.00,Aggressive,0,0.00
2.26,1,350.00,Aggressive,0,0.00
2.32,1,350.00,Aggressive,0,0.00
2.38,1,350.00,Aggressive,0,0.00
2.44,1,350.00,Aggressive,0,0.00
2.51,1,350.00,Aggressive,0,0.00
2.55,1,350.00,Aggressive,0,0.00
2.61,1,350.00,Aggressive,0,0.00
2.67,1,350.00,Aggressive,0,0.00
2.73,1,350.00,Aggressive,0,0.00
2.79,1,350.00,Aggressive,0,0.00
2.84,1,350.00,Aggressive,0,0.00
2.90,1,350.00,Aggressive,0,0.00
2.97,1,350.00,Aggressive,0,0.00
3.04,1,350.00,Aggressive,0,0.00
3.08,1,350.00,Aggressive,0,0.00
3.14,1,350.00,Aggressive,0,0.00
3.20,1,350.18,Aggressive,0,0.00
3.27,1,350.72,Aggressive,0,0.00
3.33,1,341.24,Aggressive,0,1.00
3.39,1,341.76,Aggressive,0,1.00
3.45,1,342.27,Aggressive,0,1.00
3.51,1,332.80,Aggressive,0,2.00
3.57,1,333.35,Aggressive,0,2.00
3.63,1,333.89,Aggressive,0,2.00
3.67,1,324.43,Aggressive,0,3.00
3.72,1,324.96,Aggressive,0,3.00
3.79,1,325.49,Aggressive,0,3.00
3.85,1,316.02,Aggressive,0,4.00
3.91,1,316.55,Aggressive,0,4.00
3.97,1,317.05,Aggressive,0,4.00
4.03,1,307.57,Aggressive,0,5.00
4.08,1,308.11,Aggressive,0,5.00
4.13,1,308.66,Aggressive,0,5.00
4.18,1,309.22,Aggressive,0,5.00
4.21,1,295.00,Aggressive,0,5.50
4.26,1,280.00,Aggressive,0,7.00
4.31,1,275.00,Aggressive,0,7.50
4.35,1,275.00,Aggressive,0,7.50
4.41,1,245.00,Aggressive,0,10.50
4.46,1,200.00,Aggressive,0,15.00
4.51,1,200.00,Aggressive,0,15.00
4.55,1,200.00,Aggressive,0,15.00
4.59,1,200.00,Aggressive,0,15.00
4.63,1,230.00,Aggressive,0,12.00
4.67,1,228.00,Aggressive,0,12.00
4.72,1,225.00,Aggressive,0,12.00
4.77,1,252.00,Aggressive,0,9.00
4.82,1,280.00,Aggressive,0,6.00
4.88,1,309.00,Aggressive,0,3.00
4.93,1,339.00,Aggressive,0,0.00
4.98,1,339.00,Aggressive,0,0.00
5.03,1,339.00,Aggressive,0,0.00
5.06,1,339.00,Aggressive,0,0.00
5.09,1,339.00,Aggressive,0,0.00
5.14,1,339.00,Aggressive,0,0.00
5.20,1,339.00,Aggressive,0,0.00
5.26,1,339.00,Aggressive,0,0.00
5.30,1,339.00,Aggressive,0,0.00
5.36,1,339.00,Aggressive,0,0.00
5.42,1,339.00,Aggressive,0,0.00
5.48,1,339.00,Aggressive,0,0.00
5.53,1,339.00,Aggressive,0,0.00
5.58,1,339.00,Aggressive,0,0.00
5.63,1,339.00,Aggressive,0,0.00
5.69,1,339.00,Aggressive,0,0.00
5.75,1,339.00,Aggressive,0,0.00
5.80,1,339.00,Aggressive,0,0.00
5.85,1,339.00,Aggressive,0,0.00
5.91,1,339.00,Aggressive,0,0.00
5.96,1,329.00,Aggressive,0,1.00
6.02,1,329.00,Aggressive,0,1.00
6.07,1,329.00,Aggressive,0,1.00
6.12,1,329.00,Aggressive,0,1.00
