Opponent,Win,Duration,Workers,Soldiers,Towers,Wood,Stone,Meat
EliteCommander,False,1849.65,2,0,83,287470,301990,170
EliteCommander,False,84.60,2,0,3,3720,230,10
EliteCommander,False,72.65,2,0,3,140,770,90
EliteCommander,False,101.90,2,0,8,1790,1870,80
EliteCommander,False,74.95,2,0,2,70,150,130
EliteCommander,False,72.90,2,0,2,60,40,60
EliteCommander,False,101.80,2,0,2,60,1970,140
EliteCommander,False,76.70,2,0,2,100,70,30
EliteCommander,False,75.65,2,0,2,90,50,50
EliteCommander,False,80.40,2,0,3,110,180,50
EliteCommander,False,78.75,2,0,2,110,80,70
EliteCommander,False,3750.00,2,0,89,763850,750100,30
EliteCommander,False,68.65,2,0,2,90,30,40
EliteCommander,False,127.80,2,0,4,310,630,150
EliteCommander,False,72.60,2,0,2,140,60,130
EliteCommander,False,69.40,2,0,2,130,80,80
EliteCommander,False,113.65,2,0,3,200,110,130
EliteCommander,False,78.25,2,0,2,540,50,40
Balanced,False,123.15,2,0,2,80,100,0
Balanced,False,132.75,2,0,2,40,50,20
Balanced,False,1550.00,2,0,2,40,110,20
Balanced,False,222.00,2,0,2,170,40,0
Balanced,False,249.50,2,0,2,1820,110,120
Balanced,True,859.85,2,0,3,260240,250,640
Balanced,False,177.30,2,0,2,150,0,0
Balanced,False,147.00,2,0,2,210,0,0
Balanced,False,202.85,2,0,2,70,1200,0
Balanced,False,163.00,2,0,2,0,0,0
Balanced,False,147.75,7,0,2,0,80,2440
Balanced,False,176.20,2,0,2,3140,20,0
Balanced,False,17.32,2,0,2,220,50,0
Balanced,False,97.93,2,0,2,40,3550,40
Balanced,False,100.78,2,0,2,130,50,50
Balanced,True,270.30,2,0,2,0,0,0
Balanced,False,170.70,2,0,2,0,0,0
Balanced,False,148.20,2,0,2,50,20,0
Balanced,False,184.05,2,0,2,0,130,0
Balanced,False,208.80,13,0,2,340,0,3980
Balanced,False,183.65,2,0,2,0,500,0
Balanced,False,178.60,10,0,2,0,0,4580
Balanced,False,163.20,2,0,2,0,0,0
Balanced,False,217.35,2,0,2,0,670,0
Balanced,False,182.00,2,0,2,0,0,0
Balanced,False,142.45,2,0,2,0,110,0
Balanced,False,170.95,2,0,2,0,0,0
Balanced,False,117.40,2,0,2,0,0,0
Balanced,False,222.00,2,0,2,0,0,0
Balanced,False,159.50,2,0,2,0,0,0
Balanced,False,195.80,7,0,2,0,0,6280
Balanced,True,669.30,4,0,3,500,220,500
Balanced,False,214.60,7,0,4,330,2220,6760
Balanced,False,156.50,2,0,2,0,0,0
Balanced,False,523.35,2,0,2,50,0,0
Balanced,False,107.70,2,0,2,0,0,0
Balanced,False,151.05,2,0,2,0,1820,0
Balanced,False,119.10,2,0,2,0,0,0
Balanced,False,177.85,2,0,2,0,0,0
EliteCommander,True,445.35,2,2,33,57500,66430,570
EliteCommander,False,1064.65,2,0,47,116510,104330,110
EliteCommander,True,357.60,8,0,6,68920,800,14440
EliteCommander,False,69.20,2,0,2,0,0,60
EliteCommander,True,545.75,12,7,106,84910,151060,300030
EliteCommander,False,67.15,2,0,5,1090,1020,0
EliteCommander,False,91.70,2,0,2,0,40,0
EliteCommander,False,94.50,2,0,2,30,50,90
EliteCommander,True,677.95,7,0,4,310,65690,47790
EliteCommander,False,105.35,2,0,2,90,40,20
EliteCommander,False,75.95,2,0,2,70,40,10
EliteCommander,False,87.75,2,0,2,140,70,40
EliteCommander,False,84.70,2,0,2,1610,30,30
EliteCommander,False,97.65,2,0,2,50,90,30
EliteCommander,False,74.25,2,0,5,2070,1220,0
EliteCommander,False,879.75,12,7,167,489720,204520,590880
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
