Episode,Reward,Steps,WinRate
726,8100.30,592,0.99
727,7705.70,618,0.99
728,6299.70,738,0.99
729,3338.60,1049,0.99
730,10423.70,353,0.99
731,7416.30,612,0.99
732,7939.20,588,0.99
733,8982.90,496,0.99
734,7905.60,569,0.99
735,10074.40,391,0.99
736,9170.50,480,0.99
737,9484.40,441,0.99
738,6886.30,707,0.99
739,7279.90,631,0.99
740,8430.20,553,0.99
741,6255.90,771,0.99
742,10083.30,392,0.99
743,9276.50,485,0.99
744,10087.30,372,0.99
745,8974.10,489,0.99
746,8038.00,580,0.99
747,9340.10,469,0.99
748,6448.30,742,0.99
749,8592.10,534,0.99
750,9107.90,501,0.99
751,8362.60,569,0.99
752,9561.40,451,0.99
753,9829.10,434,0.99
754,9035.50,480,0.99
755,7629.40,611,0.99
756,9314.60,434,0.99
757,7691.30,637,0.99
758,9500.20,458,0.99
759,6177.20,758,0.99
760,10054.20,388,0.99
761,8749.20,523,0.99
762,9140.90,476,0.99
763,9730.00,425,0.99
764,8546.10,539,0.99
765,8254.80,567,0.99
766,9999.60,394,0.99
767,8575.60,559,0.99
768,9116.00,495,0.99
769,9071.90,481,0.99
770,9934.40,396,0.99
771,8633.10,524,0.99
772,6116.00,765,0.99
773,8652.70,528,0.99
774,9743.00,400,0.99
775,10069.60,384,0.99
776,9835.90,411,0.99
777,9458.90,456,0.99
778,9750.00,420,0.99
779,9142.80,492,0.99
780,9227.70,448,0.99
781,7943.00,590,0.99
782,7924.50,590,0.99
783,6819.40,701,0.99
784,9283.50,455,0.99
785,10406.00,360,0.99
786,10286.60,374,0.99
787,8288.90,546,0.99
788,9515.80,422,0.99
789,8303.60,554,0.99
790,9338.00,450,0.99
791,6774.40,681,0.99
792,8084.80,582,0.99
793,9105.50,465,0.99
794,7911.00,615,0.99
795,8719.30,512,0.99
796,8113.20,563,0.99
797,5583.10,804,0.99
798,6720.00,700,0.99
799,7595.30,627,0.99
800,-129.00,1250,0.98
801,5894.60,799,0.98
802,8757.80,517,0.98
803,8916.00,505,0.98
804,9054.80,492,0.98
805,7716.70,623,0.98
806,6305.50,760,0.98
807,3500.70,1018,0.98
808,7974.50,600,0.99
809,6053.40,786,0.99
810,7965.00,590,0.99
811,8530.00,540,0.99
812,7238.70,668,0.99
813,5512.00,830,0.99
814,8540.10,524,0.99
815,6465.90,741,0.99
816,9183.10,479,0.99
817,6746.30,717,0.99
818,9792.00,425,0.99
819,8542.30,542,0.99
820,8894.20,503,0.99
821,8335.10,554,0.99
822,10364.30,362,0.99
823,9622.90,426,0.99
824,9754.60,429,0.99
825,7185.10,659,0.99
826,7990.20,583,0.99
827,7909.30,602,0.99
828,7953.20,588,0.99
829,9168.00,480,0.99
830,8417.10,544,0.99
831,7858.00,610,0.99
832,9505.20,443,0.99
833,6572.50,725,0.99
834,8296.90,561,0.99
835,6478.80,742,0.99
836,5513.90,806,0.99
837,9247.40,481,0.99
838,9199.40,476,0.99
839,8830.00,515,0.99
840,9869.20,408,0.99
841,8792.30,507,0.99
842,8868.80,507,0.99
843,9131.40,481,0.99
844,9695.80,432,0.99
845,8864.20,513,0.99
846,9905.80,402,0.99
847,9986.60,394,0.99
848,10047.70,388,0.99
849,6930.30,692,0.99
850,8228.30,577,0.99
851,7753.10,624,0.99
852,5898.90,791,0.99
853,9705.20,428,0.99
854,9619.20,438,0.99
855,9633.20,438,0.99
856,9489.80,442,0.99
857,9661.40,436,0.99
858,9102.20,493,0.99
859,8367.30,552,0.99
860,9876.10,419,0.99
861,8129.00,580,0.99
862,9572.90,431,0.99
863,8642.90,516,0.99
864,8873.00,510,0.99
865,9927.80,397,0.99
866,7719.20,608,0.99
867,7378.20,663,0.99
868,6587.70,728,0.99
869,7866.90,601,0.99
870,8137.00,570,0.99
871,6898.60,714,0.99
872,8279.40,556,0.99
873,7292.30,657,0.99
874,5268.70,863,0.99
875,5441.40,816,0.99
876,6752.30,722,0.99
877,9848.20,408,0.99
878,9457.10,424,0.99
879,9191.40,471,0.99
880,9657.60,419,0.99
881,9828.70,393,0.99
882,9977.50,400,0.99
883,7738.10,609,0.99
884,10418.10,344,0.99
885,6000.50,790,0.99
886,9561.60,429,0.99
887,10369.10,354,0.99
888,9075.70,473,0.99
889,9323.10,464,0.99
